name	site	type	phone	full_address	latitude	longitude	rating	working_hours
וניה ביסטרו	https://www.instagram.com/venya_bistro?igsh=MWx1ZjQ0ZjhsbGh6aw==	ביסטרו	+972 4-671-6272	שער פלמר 1 חיפה 3303139	32.8198426	35.0002409	4.4	"{"יום שני": "סגור", "יום שלישי": "18:30-0:00", "יום רביעי": "18:30-0:00", "יום חמישי": "18:00-0:00", "יום שישי": "13:00-0:00", "יום שבת": "13:00-16:00,18:30-0:00", "יום ראשון": "סגור"}"
מסעדת שף בחיפה - אוניקס | Onyx | اونيكس	https://onyxhaifa.co.il/	מסעדה	+972 4-660-0600	דרך העצמאות 104 חיפה 3341103	32.8210623	34.9965918	4.5	"{"יום שני": "17:00-23:00", "יום שלישי": "17:00-23:00", "יום רביעי": "17:00-23:00", "יום חמישי": "13:00-23:00", "יום שישי": "13:00-23:00", "יום שבת": "13:00-23:00", "יום ראשון": "17:00-23:00"}"
פטוש	https://www.fattoush.co.il/	מסעדה	+972 4-852-4930	שדרות בן גוריון 38 חיפה	32.8193373	34.9899074	4.4	"{"יום שני": "8:30-23:00", "יום שלישי": "8:30-23:00", "יום רביעי": "8:30-23:00", "יום חמישי": "8:30-23:30", "יום שישי": "8:30-23:30", "יום שבת": "8:30-23:00", "יום ראשון": "8:30-23:00"}"
מסעדת עין הוואדי	https://www.facebook.com/Ein.alwadi/	מסעדה	+972 4-855-3353	דרך העצמאות 140 חיפה	32.8230951	34.9933946	4.6	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-19:00", "יום ראשון": "סגור"}"
לוקס	https://luxhaifa.co.il/he/	מסעדה	+972 77-206-0970	הנמל 13 חיפה 3303113	32.8177174	35.0018628	4.6	"{"יום שני": "17:00-23:00", "יום שלישי": "17:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:30", "יום שישי": "12:00-23:30", "יום שבת": "12:00-23:30", "יום ראשון": "17:00-23:00"}"
מעיין הבירה	https://www.facebook.com/MaayaNHabira/	מסעדה	+972 4-862-3193	נתנזון 4 חיפה	32.8184032	34.9986877	4.6	"{"יום שני": "10:00-17:00", "יום שלישי": "10:00-17:00", "יום רביעי": "10:00-17:00", "יום חמישי": "10:00-17:00", "יום שישי": "10:00-17:00", "יום שבת": "סגור", "יום ראשון": "10:00-17:00"}"
מסעדת שטרודל מושבה גרמנית	http://www.shtroudl-haifa.co.il/	מסעדה ים-תיכונית	+972 77-700-4312	שדרות בן גוריון 39 חיפה	32.8194281	34.9903608	4.3	"{"יום שני": "9:00-23:30", "יום שלישי": "9:00-23:30", "יום רביעי": "9:00-23:30", "יום חמישי": "9:00-23:30", "יום שישי": "9:00-23:30", "יום שבת": "9:00-23:30", "יום ראשון": "9:00-23:30"}"
Garden Restaurant מסעדת גארדן	https://gardenrest.co.il/	מסעדה	+972 4-850-7061	שדרות בן גוריון 43 חיפה	32.8192939	34.9901809	4.1	"{"יום שני": "8:30-23:30", "יום שלישי": "8:30-23:30", "יום רביעי": "8:30-23:30", "יום חמישי": "8:30-23:30", "יום שישי": "8:30-0:00", "יום שבת": "8:30-0:00", "יום ראשון": "8:30-23:30"}"
איטליאנו דה לה קוסטה	https://eataliano.co.il/	מסעדה איטלקית	+972 4-660-1011	העלייה השנייה 96 חיפה	32.8313908	34.9704919	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-23:00", "יום ראשון": "12:00-23:00"}"
רולא	https://m.facebook.com/RolaLevantineKitchen/	מסעדה מזרח תיכונית	+972 4-838-3866	הנמל 33 חיפה	32.8187876	35.00059	4.4	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:30", "יום שבת": "12:00-18:00", "יום ראשון": "סגור"}"
